id,nome,apelido,cidade,estado,regiao,proprietario, capacidade , oficial ,iluminacao
1,Antonio Aquino Lopes,Florestão,Rio Branco,Acre,Norte,P,8000,10000,Sim
2,Arena da Floresta,,Rio Branco,Acre,Norte,E,13700,20000,Sim
3,Arena do Juruá,,Cruzeiro do Sul,Acre,Norte,E,4000,4000,Sim
4,Complexo Esportivo Totão,Totão,Mâncio Lima,Acre,Norte,M,9000,9000,Sim
5,José de Melo,,Rio Branco,Acre,Norte,P ,2000,2000,Sim
6,Nabor Júnior,,Senador Guiomard,Acre,Norte,M,2000,2000,Sim
7,Adalberto Cavalcante,,Porto Real do Colégio,Alagoas,Nordeste,M,3000,3270,Não
8,Alfredo Lehay,,Penedo,Alagoas,Nordeste,M,3000,3270,Não
9,Arnon de Mello,,Santana de Ipanema,Alagoas,Nordeste,M,2703,2800,Não
10,Cleto Marques,,Maceió,Alagoas,Nordeste,M,3000,3000,Não
11,Coaracy da Mata Fonseca,Fumerão,Arapiraca,Alagoas,Nordeste,M,15000,15332,Sim
12,Edivanil Cavalcante Navarro,,Matriz Camaragibe,Alagoas,Nordeste,M,3000,3000,Não
13,Edson Matias,,Olho D'Água das Flores,Alagoas,Nordeste,P,2000,2480,Não
14,Eduardo de Melo Gonçalves,,São Luiz do Quitunde,Alagoas,Nordeste,P,2000,2480,Não
15,Gerson Amaral,,Coruripe,Alagoas,Nordeste,M,5000,5560,Sim
16,Gustavo Paiva,Mutange,Maceió,Alagoas,Nordeste,P,3000,3000,Não
17,João Batista,,Maceió,Alagoas,Nordeste,M,3000,3000,Não
18,José Gomes da Costa,,Murici,Alagoas,Nordeste,M,3500,3829,Sim
19,Juca Sampaio,,Palmeira dos Índios,Alagoas,Nordeste,M,4500,4995,Sim
20,Luiz Pontes, ,Atalaia,Alagoas,Nordeste,M,2000,2182,Não
21,Manoel Ferreira de Amorim,Ferreirão,São Miguel dos Campos,Alagoas,Nordeste,M,3000,3000,Não
22,Manoel Moreira,,Capela,Alagoas,Nordeste,M,3000,3000,Sim
23,Nelson Peixoto Feijó,Nelsão,Maceió,Alagoas,Nordeste,P,4000,4930,Não
24,Olival Elias de Moraes,,Boca da Mata,Alagoas,Nordeste,P,2500,3000,Não
25,Orlando Gomes,Praxedão,União dos Palmares,Alagoas,Nordeste,M,1115,4000,Sim
26,Rei Pelé,Trapichão,Maceió,Alagoas,Nordeste,E,17126,17126,Sim
27,Rubens Canuto,Municipal do Pilar,Pilar,Alagoas,Nordeste,M,1200,2000,Não
28,Severiano Gomes Filho,Pajuçara,Maceió,Alagoas,Nordeste,P,6000,6000,Não
29,Teotônio Vilela,,Viçosa,Alagoas,Nordeste,M,4000,4500,Não
30,Augusto Antunes,Augusto Antunes,Santana,Amapá,Norte,E,8000,8000,Não
31,Glicério de Souza Marques,Glicerão,Macapá,Amapá,Norte,M,5630,5630,Sim
